year,co2_ff,co2_tot,co2_lu
1750,0.0025499121898009272,0.0025499121898009272,0.0
1751,0.0025499121898009272,0.009469831644395965,0.006919919454595038
1752,0.0025509113716934827,0.01639075028088356,0.013839838909190076
1753,0.0025509113716934827,0.023310669735478594,0.020759758363785113
1754,0.002551910553586038,0.03023158837196619,0.02767967781838015
1755,0.002552909735478593,0.03715250700845378,0.03459959727297519
1756,0.002728765748568312,0.04424828247613854,0.041519516727570226
1757,0.0027297649304608676,0.051169201112626135,0.048439436182165264
1758,0.0027307641123534227,0.058090119749113725,0.0553593556367603
1759,0.0027317632942459777,0.06501103838560132,0.06227927509135534
1760,0.0027317632942459777,0.07193095784019635,0.06919919454595037
1761,0.002992549768202891,0.0791116637687483,0.07611911400054541
1762,0.002993548950095446,0.0860325824052359,0.08303903345514045
1763,0.002994548131988001,0.0929535010417235,0.08995895290973549
1764,0.0029955473138805564,0.09987441967821109,0.09687887236433053
1765,0.0029965464957731115,0.10679533831469867,0.10379879181892557
1766,0.003343262612489774,0.11406197388601039,0.1107187112735206
1767,0.0033442617943823293,0.12098289252249797,0.11763863072811565
1768,0.0033452609762748844,0.12790381115898558,0.12455855018271068
1769,0.0033462601581674394,0.13482472979547316,0.13147846963730572
1770,0.003347259340059995,0.14174564843196075,0.13839838909190075
1771,0.003711960730842651,0.14903026927733845,0.1453183085464958
1772,0.003712959912735206,0.15595118791382603,0.15223822800109083
1773,0.003713959094627761,0.16287210655031364,0.15915814745568588
1774,0.0037149582765203166,0.16979302518680123,0.1660780669102809
1775,0.0037159574584128717,0.17671394382328884,0.17299798636487596
1776,0.004100642487046632,0.18401854830651762,0.17991790581947098
1777,0.0041016416689391875,0.19093946694300523,0.18683782527406603
1778,0.004102640850831743,0.19786038557949281,0.19375774472866106
1779,0.004103640032724298,0.2047813042159804,0.2006776641832561
1780,0.004105638396509409,0.21170322203436054,0.20759758363785114
1781,0.0045932391600763565,0.21911074225252256,0.2145175030924462
1782,0.004594238341968912,0.2260316608890101,0.2214374225470412
1783,0.004596236705754023,0.23295357870739025,0.22835734200163624
1784,0.0045972358876465785,0.23987449734387786,0.2352772614562313
1785,0.004600233433324244,0.24679741434415056,0.24219718091082632
1786,0.005222723752386147,0.25433982411780753,0.24911710036542137
1787,0.005224722116171258,0.2612617419361877,0.2560370198200164
1788,0.005225721298063812,0.26818266057267526,0.26295693927461145
1789,0.005227719661848923,0.2751045783910554,0.26987685872920647
1790,0.0052297180256340335,0.28202649620943554,0.2767967781838015
1791,0.00584121734387783,0.2895579149822744,0.2837166976383966
1792,0.005971110989910008,0.2966077280829016,0.2906366170929916
1793,0.005976106899372785,0.3035326434469594,0.2975565365475866
1794,0.005967114262339788,0.31044357026452146,0.30447645600218165
1795,0.0059701118080174535,0.31736648726479416,0.31139637545677673
1796,0.006258875374965913,0.32457517028633764,0.31831629491137176
1797,0.006570620125443142,0.3318068344914099,0.3252362143659668
1798,0.006843396782110717,0.3389995306026725,0.3321561338205618
1799,0.007207098991000818,0.34628315226615763,0.33907605327515683
1800,0.00766072757022089,0.3536567002999728,0.3459959727297519
1801,0.007624757022088901,0.36054064920643586,0.35291589218434694
1802,0.010030787019361876,0.36986659865830385,0.35983581163894196
1803,0.008586969184619582,0.3753427002781566,0.366755731093537
1804,0.009356339241887102,0.3830319897900192,0.37367565054813207
1805,0.009113538041996183,0.38970910804472325,0.3805955700027271
1806,0.009557174802290703,0.3970726642596128,0.3875154894573221
1807,0.010055766566675757,0.4044911754785929,0.39443540891191714
1808,0.009562170711753479,0.4109174990782657,0.4013553283665122
1809,0.009569164985001365,0.4178444128061086,0.40827524782110725
1810,0.010193653667848378,0.4253888209435506,0.41519516727570227
1811,0.010794161985274067,0.43290924871557135,0.4221150867302973
1812,0.011182843741478049,0.4402178499263704,0.4290350061848924
1813,0.01124079629124625,0.44719572193073365,0.4359549256394874
1814,0.011488593400599946,0.45436343849468236,0.4428748450940824
1815,0.011859289882737933,0.4616540544314154,0.44979476454867745
1816,0.012998357240250887,0.46971304124352337,0.4567146840032725
1817,0.013479962912462505,0.47711456637033006,0.46363460345786756
1818,0.013537915462230706,0.4840924383746933,0.4705545229124626
1819,0.01362084755931279,0.4910952899263704,0.4774744423670576
1820,0.013822682301608945,0.49821704412326157,0.48439436182165263
1821,0.01402651540769021,0.5053407966839379,0.4913142812762477
1822,0.014580062176165804,0.5128142629070085,0.49823420073084274
1823,0.015421373329697301,0.5205754935151351,0.5051541201854378
1824,0.015959932369784567,0.5280339720098174,0.5120740396400328
1825,0.016568434142350697,0.5355623932369785,0.5189939590946279
1826,0.016749286064903193,0.5426631646141261,0.5259138785492229
1827,0.01797528224706845,0.5508090802508864,0.5328337980038179
1828,0.01817212107990183,0.5579258385383148,0.5397537174584129
1829,0.01810617507499318,0.5647798119880012,0.546673636913008
1830,0.024304100354513226,0.5778976567221162,0.553593556367603
1831,0.02305112626124898,0.583564602083447,0.560513475822198
1832,0.02320999618216526,0.5906433914589584,0.5674333952767932
1833,0.023672617398418326,0.5980259321298065,0.5743533147313882
1834,0.024130242705208617,0.6054034768911918,0.5812732341859832
1835,0.024664805017725663,0.6128579586583038,0.5881931536405782
1836,0.028572605399509135,0.6236856784946824,0.5951130730951733
1837,0.028549624215980365,0.6305826167657487,0.6020329925497683
1838,0.029463875647668395,0.6384167876520317,0.6089529120043633
1839,0.030437078811017183,0.6463099102699755,0.6158728314589583
1840,0.03243244505044996,0.6552251959640034,0.6227927509135535
1841,0.033438621216253066,0.6631512915844016,0.6297126703681485
1842,0.035316083992364335,0.6719486738151078,0.6366325898227435
1843,0.03622933624215981,0.6797818455194984,0.6435525092773385
1844,0.03856642268884647,0.68903885142078,0.6504724287319336
1845,0.04232634415053177,0.6997186923370604,0.6573923481865286
1846,0.0430307673847832,0.7073430350259068,0.6643122676411236
1847,0.04701450559040087,0.7182466926861195,0.6712321870957186
1848,0.047400189800927195,0.7255522963512409,0.6781521065503137
1849,0.050044025088628305,0.7351160510935371,0.6850720260049088
1850,0.053694036542132534,0.7456859820016364,0.6919919454595038
1851,0.05421461030815381,0.7673154949550041,0.7131008802836106
1852,0.05659965748568312,0.780427763294246,0.7238280970820835
1853,0.059233500954458694,0.7963736940278157,0.7371401668939187
1854,0.06957703190619036,0.8141460419961822,0.7445689839105536
1855,0.07094790946277611,0.8200870291791656,0.7491391458958276
1856,0.07561808562857923,0.8323759367330243,0.756757851104445
1857,0.07632650122716117,0.8403549408235615,0.7640284046904827
1858,0.0774943659667303,0.8488738696482139,0.7713795211344423
1859,0.0821686784837742,0.8599967101172621,0.7778280403599673
1860,0.09016694191437143,0.83301673956913,0.7428497976547587
1861,0.0948282607035724,0.8062260289064631,0.7113977507499318
1862,0.0965523512407963,0.8058551186255795,0.7093027673847833
1863,0.1030433422416144,0.8117376733024271,0.708694357240251
1864,0.11101475429506409,0.8109550128170168,0.6999402323425143
1865,0.11789140332697028,0.8078188557403874,0.6899274698663758
1866,0.12161728715571313,0.8085755462230706,0.6869582328879194
1867,0.13030131224434144,0.8193509331878921,0.6890496558494682
1868,0.13382942787019364,0.8195669310062722,0.6857375031360786
1869,0.14211364057812925,0.8235027128442869,0.6813890635396782
1870,0.14522409817289336,0.8791480512680665,0.7339239356422144
1871,0.15438859449140988,0.9179302710662668,0.7635416765748568
1872,0.1708131377147532,0.9479382601581675,0.7771251049904555
1873,0.1814614147804745,0.9784370264521408,0.7969756116716663
1874,0.16989289555494955,0.9805446457594764,0.810651750204527
